rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.229157,-0.690357,0.181792,0.155993,-0.010111,0.132202,0.16406,1.4e-05,0.1368,1
0.17674,-0.005498,0.147006,0.159887,-0.061173,0.138677,0.165717,-0.02029,0.141557,2
0.175778,0.005411,0.146662,0.153937,0.016329,0.128276,0.162453,0.019502,0.132727,3
0.171559,0.052586,0.139535,0.15387,0.017196,0.128983,0.160642,0.041239,0.132701,4
0.166882,0.10354,0.136367,0.157029,-0.023579,0.134626,0.159573,0.053964,0.136583,5
0.146274,0.311271,0.117532,0.162334,-0.093913,0.132146,0.15254,0.135513,0.123166,6
0.116743,0.561291,0.090693,0.164688,-0.125857,0.125636,0.142535,0.245195,0.11,7
0.100415,0.675427,0.076544,0.168321,-0.17609,0.135202,0.155131,0.105893,0.122251,8
0.086873,0.757071,0.06672,0.164262,-0.120043,0.127652,0.147043,0.196697,0.112553,9
0.075438,0.816811,0.058369,0.170455,-0.206088,0.128452,0.149111,0.173939,0.10896,10
0.079754,0.795255,0.057957,0.168984,-0.185361,0.129572,0.147074,0.196358,0.107696,11
0.062413,0.87461,0.046137,0.16931,-0.189941,0.127106,0.144417,0.225136,0.104928,12
0.05847,0.889953,0.043002,0.169377,-0.190882,0.128967,0.145921,0.208907,0.105944,13
0.054617,0.903978,0.039875,0.172291,-0.232214,0.130283,0.148693,0.178574,0.107929,14
0.052031,0.912855,0.037797,0.170461,-0.206179,0.131051,0.145442,0.214097,0.105949,15
0.049993,0.919547,0.035836,0.170587,-0.207966,0.130187,0.145883,0.209327,0.10678,16
0.047187,0.928327,0.033789,0.172154,-0.230263,0.131691,0.148725,0.178217,0.108154,17
0.045651,0.932916,0.032587,0.173122,-0.244131,0.128927,0.147258,0.194348,0.104924,18
0.043645,0.938682,0.030599,0.169367,-0.190747,0.127506,0.143411,0.235896,0.103546,19
0.042571,0.941662,0.02982,0.170861,-0.211843,0.130546,0.145035,0.218487,0.105313,20
0.040548,0.947076,0.02795,0.171311,-0.21824,0.129253,0.144679,0.222322,0.104138,21
0.038269,0.952859,0.025981,0.169947,-0.198911,0.128798,0.14307,0.239526,0.103356,22
0.037022,0.955881,0.025168,0.170463,-0.206211,0.12948,0.142983,0.240444,0.103793,23
0.035479,0.959481,0.024645,0.169325,-0.190155,0.128299,0.14153,0.255808,0.102432,24
0.034681,0.961284,0.023951,0.169512,-0.192785,0.128099,0.141665,0.254385,0.102788,25
0.034209,0.96233,0.023547,0.1695,-0.192615,0.128874,0.141943,0.251451,0.103465,26
0.03296,0.96503,0.022478,0.169645,-0.194665,0.129327,0.14204,0.250427,0.103546,27
0.032727,0.965524,0.022393,0.169691,-0.195309,0.12928,0.142676,0.243708,0.104147,28
0.031622,0.967813,0.021604,0.168338,-0.176318,0.127342,0.140331,0.268365,0.102021,29
0.030434,0.970184,0.02138,0.168716,-0.181606,0.12797,0.141169,0.259595,0.102636,30
