rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
1.186857,-45.463749,0.647257,0.274648,-2.131234,0.202436,0.320118,-2.041085,0.222797,1
0.314731,-2.267356,0.247229,0.17023,-0.202914,0.140304,0.166572,0.176603,0.132289,2
0.314424,-2.260978,0.245217,0.268036,-1.982268,0.199484,0.271184,-1.182399,0.215423,3
0.341359,-2.84363,0.260488,0.190017,-0.498817,0.160653,0.1949,-0.127274,0.157935,4
0.30419,-2.052167,0.235442,0.184851,-0.418418,0.149145,0.205899,-0.258099,0.158081,5
0.303853,-2.045395,0.234533,0.196195,-0.59785,0.151539,0.202939,-0.222191,0.16001,6
0.290842,-1.790181,0.226522,0.199306,-0.648935,0.159643,0.204795,-0.244645,0.165625,7
0.312613,-2.223524,0.238617,0.177064,-0.301433,0.138832,0.179253,0.04646,0.141766,8
0.288458,-1.744621,0.219928,0.145604,0.119952,0.113675,0.161836,0.222753,0.122244,9
0.252823,-1.108395,0.19409,0.139498,0.192207,0.116201,0.145613,0.370772,0.121861,10
0.213898,-0.509139,0.167281,0.127416,0.326079,0.101886,0.130833,0.492025,0.105372,11
0.207906,-0.425778,0.160969,0.150898,0.054786,0.126554,0.152023,0.31416,0.121321,12
0.206477,-0.406247,0.161359,0.119215,0.410035,0.095619,0.129322,0.503693,0.104509,13
0.200176,-0.321729,0.156503,0.124306,0.358576,0.09623,0.134197,0.465564,0.101631,14
0.20417,-0.374996,0.158072,0.155848,-0.008243,0.122541,0.164281,0.199091,0.129622,15
0.198476,-0.299374,0.153241,0.128133,0.318475,0.098283,0.142194,0.399972,0.110227,16
0.198083,-0.294237,0.15498,0.124139,0.360293,0.100121,0.132344,0.480221,0.1087,17
0.198348,-0.297695,0.154173,0.131783,0.279096,0.100854,0.134638,0.462048,0.106785,18
0.18205,-0.093197,0.143134,0.11744,0.427477,0.091997,0.126463,0.525396,0.099214,19
0.191847,-0.21403,0.148425,0.119035,0.411821,0.092631,0.128612,0.509129,0.102511,20
0.174395,-0.003193,0.136352,0.121439,0.38782,0.093588,0.132399,0.47979,0.102864,21
0.183813,-0.114478,0.143116,0.1278,0.322008,0.098227,0.135784,0.452857,0.106423,22
0.187676,-0.161812,0.146849,0.122768,0.374352,0.095462,0.135672,0.453751,0.105551,23
0.16651,0.085464,0.129555,0.138258,0.206514,0.104685,0.15156,0.318328,0.115959,24
0.16963,0.050873,0.132304,0.124257,0.359077,0.096003,0.134595,0.462393,0.103906,25
0.169468,0.05269,0.13152,0.115983,0.441596,0.089488,0.12259,0.554014,0.095109,26
0.168349,0.065159,0.133249,0.118228,0.419765,0.089304,0.130165,0.497202,0.098504,27
0.177261,-0.036445,0.138021,0.13026,0.295653,0.10005,0.142444,0.397867,0.108938,28
0.166601,0.084475,0.13035,0.142849,0.152934,0.107649,0.155864,0.279061,0.118476,29
0.163409,0.119217,0.127869,0.123686,0.364953,0.093631,0.133499,0.471115,0.103092,30
