rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
1.086411,-36.920122,0.323396,0.132611,0.270007,0.099282,0.132858,0.318957,0.100264,1
0.163293,0.143321,0.128219,0.126235,0.338512,0.095055,0.131856,0.329187,0.099256,2
0.157825,0.199741,0.124458,0.151159,0.051519,0.114086,0.149865,0.133435,0.114112,3
0.153708,0.240939,0.120613,0.119318,0.409018,0.090036,0.122638,0.419703,0.094202,4
0.134382,0.419823,0.104779,0.113526,0.465004,0.087131,0.121434,0.431042,0.092419,5
0.128802,0.467,0.100768,0.116515,0.436457,0.089088,0.122166,0.424163,0.092278,6
0.134992,0.414536,0.105368,0.128627,0.313207,0.104153,0.133465,0.31272,0.108163,7
0.127518,0.477577,0.099313,0.119637,0.405855,0.094171,0.12515,0.395688,0.097403,8
0.125465,0.494258,0.096774,0.115621,0.445074,0.086783,0.119841,0.445873,0.090588,9
0.124336,0.503323,0.09613,0.113883,0.461628,0.090153,0.120492,0.439837,0.094101,10
0.117691,0.554994,0.090289,0.119033,0.411844,0.091802,0.124504,0.40191,0.09503,11
0.117908,0.553349,0.090795,0.120118,0.40107,0.090222,0.11974,0.446806,0.092103,12
0.114771,0.576799,0.088488,0.11085,0.489928,0.084136,0.113892,0.49952,0.086458,13
0.114396,0.57956,0.088267,0.119591,0.406314,0.088848,0.119313,0.450737,0.091692,14
0.110333,0.608893,0.084703,0.109788,0.49965,0.082688,0.112906,0.508145,0.084897,15
0.109236,0.616637,0.083507,0.111536,0.48359,0.084855,0.112393,0.512605,0.085044,16
0.108125,0.624397,0.082535,0.107889,0.516815,0.080324,0.110152,0.531846,0.082488,17
0.106986,0.632265,0.081523,0.118282,0.419234,0.085882,0.113042,0.506958,0.086667,18
0.105471,0.642607,0.080027,0.10848,0.511505,0.079332,0.107704,0.552427,0.081684,19
0.104121,0.651694,0.079433,0.112913,0.470769,0.089767,0.1139,0.499446,0.090026,20
0.097156,0.696739,0.073906,0.108659,0.509887,0.08351,0.110798,0.526343,0.085054,21
0.094809,0.711212,0.071107,0.107722,0.518311,0.080764,0.1083,0.54746,0.084017,22
0.093801,0.717322,0.070076,0.108776,0.508835,0.078073,0.105629,0.569505,0.080742,23
0.091252,0.732475,0.067681,0.107454,0.520703,0.077406,0.104434,0.579188,0.079716,24
0.091118,0.73326,0.068309,0.107181,0.523134,0.080643,0.106462,0.562692,0.082942,25
0.089096,0.744968,0.066328,0.106363,0.530386,0.078948,0.106197,0.564861,0.081933,26
0.088384,0.749024,0.066115,0.106761,0.526859,0.077587,0.105077,0.573991,0.079993,27
0.085513,0.765066,0.064005,0.105346,0.539321,0.076817,0.104297,0.580297,0.079324,28
0.08499,0.76793,0.062896,0.10774,0.518142,0.077191,0.103362,0.587782,0.078783,29
0.082909,0.779157,0.061319,0.106398,0.530073,0.077042,0.104126,0.581673,0.079047,30
