rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
1.197555,-46.529497,0.886359,0.377097,-4.902936,0.267541,0.415318,-3.950991,0.312101,1
0.785778,-19.463147,0.61885,0.338526,-3.757144,0.264393,0.362265,-2.766905,0.293371,2
0.583373,-10.278866,0.454273,0.199301,-0.648845,0.150596,0.217842,-0.362112,0.170792,3
0.537701,-8.581945,0.421154,0.258342,-1.770463,0.205446,0.252469,-0.829562,0.196554,4
0.489594,-6.944084,0.377779,0.162019,-0.089661,0.124544,0.178413,0.086341,0.134001,5
0.414769,-4.701441,0.323221,0.163642,-0.111609,0.129229,0.175467,0.11627,0.139666,6
0.353903,-3.150891,0.280471,0.138452,0.204283,0.106544,0.17274,0.143522,0.126349,7
0.331633,-2.64492,0.259209,0.137675,0.213183,0.10599,0.159216,0.272385,0.121502,8
0.316405,-2.317871,0.247175,0.150202,0.063487,0.118218,0.172341,0.147478,0.132449,9
0.281033,-1.617505,0.221058,0.133381,0.261498,0.107913,0.150058,0.353675,0.117143,10
0.261273,-1.262354,0.20592,0.116445,0.437134,0.088641,0.135404,0.473752,0.102406,11
0.22464,-0.672429,0.178022,0.119104,0.41114,0.090902,0.138474,0.449614,0.103635,12
0.21837,-0.580371,0.174883,0.116378,0.437785,0.091255,0.135786,0.470772,0.103345,13
0.208181,-0.436334,0.164437,0.112789,0.471926,0.085379,0.136448,0.4656,0.102526,14
0.209085,-0.44883,0.165959,0.118188,0.420156,0.089924,0.140141,0.436279,0.105724,15
0.200858,-0.33706,0.159443,0.123401,0.367885,0.10072,0.146541,0.383616,0.114695,16
0.190317,-0.200407,0.151507,0.134796,0.24575,0.114159,0.14636,0.385145,0.122212,17
0.187147,-0.160754,0.14767,0.117633,0.425593,0.08924,0.142243,0.419242,0.104777,18
0.186654,-0.154637,0.147955,0.116323,0.438314,0.091787,0.135468,0.473247,0.104518,19
0.190893,-0.207679,0.15106,0.118267,0.419384,0.092448,0.136117,0.468193,0.104462,20
0.165735,0.089663,0.132101,0.11588,0.442583,0.087273,0.138271,0.45123,0.102476,21
0.164082,0.107737,0.131591,0.119513,0.40709,0.096613,0.13829,0.451079,0.108226,22
0.165527,0.091949,0.131262,0.114788,0.453044,0.09106,0.135194,0.475383,0.104715,23
0.163225,0.117028,0.129573,0.116073,0.440727,0.09177,0.137966,0.453646,0.106682,24
0.160314,0.148243,0.126555,0.113532,0.464948,0.08749,0.133651,0.487289,0.100841,25
0.163915,0.109554,0.13081,0.117092,0.430864,0.09089,0.136805,0.462799,0.104087,26
0.157077,0.182294,0.125635,0.116374,0.437824,0.090657,0.136082,0.468468,0.104032,27
0.160694,0.144206,0.127552,0.123319,0.368716,0.095404,0.144515,0.400543,0.10897,28
0.155052,0.203236,0.1247,0.111966,0.479608,0.087811,0.131775,0.501581,0.10138,29
0.155524,0.19838,0.123787,0.126034,0.340619,0.093049,0.148869,0.363878,0.109937,30
