rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
1.402048,-62.72961,0.753343,0.198879,-0.641879,0.154324,0.20584,-0.463072,0.167436,1
0.304457,-2.005156,0.240887,0.215066,-0.920017,0.171911,0.223339,-0.722406,0.179036,2
0.300495,-1.927446,0.239453,0.167595,-0.165955,0.13595,0.180277,-0.122244,0.145979,3
0.292209,-1.768239,0.230055,0.193106,-0.547938,0.15587,0.198237,-0.356982,0.157891,4
0.29511,-1.823474,0.235054,0.203326,-0.716124,0.153178,0.198622,-0.362266,0.154641,5
0.273094,-1.417913,0.217895,0.216191,-0.940155,0.174029,0.222569,-0.710557,0.18741,6
0.263187,-1.245666,0.20726,0.194407,-0.568859,0.147469,0.207649,-0.488895,0.157109,7
0.261394,-1.215167,0.208929,0.164284,-0.120348,0.131857,0.171004,-0.009757,0.137842,8
0.237001,-0.821023,0.189084,0.153098,0.027034,0.121582,0.153866,0.182491,0.124867,9
0.244582,-0.939395,0.193824,0.139907,0.187469,0.109156,0.143405,0.289879,0.112112,10
0.224286,-0.630867,0.177457,0.172547,-0.235876,0.144394,0.175023,-0.05778,0.144288,11
0.206837,-0.386985,0.162978,0.124192,0.359746,0.099637,0.136086,0.360512,0.109344,12
0.207434,-0.395,0.163781,0.122573,0.376331,0.094136,0.135726,0.363886,0.104462,13
0.205475,-0.368776,0.162634,0.135848,0.233935,0.10453,0.142507,0.298739,0.108077,14
0.203954,-0.348587,0.159436,0.140423,0.181459,0.121924,0.145559,0.268378,0.124036,15
0.19997,-0.296419,0.158813,0.118653,0.415586,0.092453,0.125634,0.454969,0.100529,16
0.194994,-0.232699,0.154247,0.118994,0.412223,0.093872,0.129471,0.421169,0.10254,17
0.20906,-0.416954,0.164594,0.127537,0.324794,0.096713,0.139419,0.328806,0.105078,18
0.200458,-0.302754,0.158811,0.131085,0.286708,0.101737,0.143974,0.284226,0.112056,19
0.191612,-0.190316,0.150892,0.142643,0.155383,0.118694,0.149638,0.226802,0.127318,20
0.180463,-0.055825,0.142576,0.120767,0.394575,0.096208,0.126971,0.443309,0.099093,21
0.177519,-0.021657,0.138894,0.135058,0.242819,0.103841,0.147947,0.244183,0.111351,22
0.178875,-0.037331,0.141542,0.129235,0.306702,0.107298,0.136027,0.361061,0.112468,23
0.184424,-0.102686,0.146561,0.110223,0.495677,0.085719,0.1219,0.486883,0.095819,24
0.175407,0.002502,0.139072,0.114807,0.452857,0.092068,0.124842,0.461821,0.100451,25
0.175203,0.004824,0.139527,0.11812,0.420825,0.093656,0.129067,0.424777,0.103136,26
0.173244,0.026952,0.138124,0.110613,0.492105,0.085538,0.121863,0.487195,0.096438,27
0.175272,0.004042,0.138238,0.112531,0.474338,0.087492,0.123793,0.470823,0.09758,28
0.177281,-0.018915,0.141667,0.125275,0.348535,0.104417,0.132554,0.393279,0.110968,29
0.174136,0.016915,0.140207,0.116395,0.437622,0.089751,0.126187,0.450163,0.09939,30
