rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
1.161249,-43.129375,0.88126,0.377238,-4.907331,0.274111,0.368482,-3.3143,0.281405,1
0.673328,-13.836482,0.526306,0.274005,-2.116587,0.220502,0.271402,-1.340466,0.217274,2
0.52411,-7.989209,0.409384,0.202824,-0.707648,0.16192,0.20252,-0.303205,0.156431,3
0.476929,-6.443626,0.368472,0.240448,-1.399956,0.191717,0.249272,-0.974352,0.204688,4
0.438733,-5.299097,0.340967,0.260292,-1.812446,0.204064,0.26546,-1.239109,0.211986,5
0.41878,-4.739161,0.32079,0.233013,-1.253828,0.195463,0.228443,-0.658182,0.195194,6
0.337545,-2.728558,0.265293,0.163577,-0.110727,0.127882,0.174947,0.027501,0.133699,7
0.304915,-2.042528,0.237486,0.145515,0.121019,0.119297,0.151431,0.271374,0.122267,8
0.275402,-1.482058,0.216883,0.146973,0.103316,0.118677,0.152105,0.264874,0.124535,9
0.249926,-1.044098,0.198235,0.169431,-0.191651,0.137527,0.176245,0.013011,0.145871,10
0.224337,-0.64695,0.178152,0.125165,0.349683,0.097652,0.138604,0.389577,0.106639,11
0.210462,-0.449525,0.16773,0.15645,-0.016047,0.119987,0.173501,0.043508,0.132717,12
0.203942,-0.361108,0.160363,0.119241,0.409779,0.093364,0.130621,0.457871,0.10087,13
0.208456,-0.422028,0.165853,0.122314,0.378967,0.091763,0.136894,0.404546,0.102987,14
0.195227,-0.247261,0.156463,0.127547,0.324695,0.097114,0.142261,0.356944,0.107625,15
0.187535,-0.150913,0.150273,0.127345,0.326829,0.094699,0.142795,0.352108,0.106462,16
0.180597,-0.067329,0.142581,0.12463,0.355225,0.101773,0.132806,0.43958,0.106459,17
0.182566,-0.090724,0.145266,0.12501,0.351285,0.092318,0.139499,0.381668,0.103256,18
0.177341,-0.029189,0.13954,0.128718,0.31223,0.098983,0.145231,0.329813,0.109883,19
0.17134,0.039287,0.136549,0.122879,0.373222,0.097866,0.132838,0.439307,0.105383,20
0.169609,0.058602,0.134237,0.121669,0.385499,0.090843,0.138164,0.393446,0.102664,21
0.158749,0.17529,0.126266,0.117097,0.430817,0.088695,0.131356,0.451749,0.1,22
0.16594,0.098885,0.131831,0.121791,0.384264,0.098673,0.132304,0.443808,0.105163,23
0.160766,0.154199,0.127278,0.117106,0.430726,0.089016,0.131118,0.453739,0.099952,24
0.158977,0.172918,0.126069,0.119955,0.402696,0.091532,0.135069,0.420323,0.10282,25
0.15594,0.204224,0.12593,0.121247,0.389756,0.096705,0.133544,0.433334,0.10467,26
0.156491,0.198589,0.125981,0.118942,0.412734,0.094747,0.132869,0.439046,0.103695,27
0.159808,0.164255,0.127471,0.119492,0.407292,0.09554,0.130385,0.459826,0.103836,28
0.156879,0.194608,0.125767,0.118627,0.415839,0.093551,0.128248,0.477393,0.10164,29
0.153922,0.224685,0.121532,0.116647,0.435179,0.090782,0.128077,0.478785,0.099764,30
