rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
1.06384,-35.810048,0.69533,0.245004,-1.491773,0.199112,0.259634,-1.257582,0.211172,1
0.422285,-4.799971,0.332353,0.206779,-0.774902,0.16511,0.23644,-0.872237,0.187167,2
0.409637,-4.457735,0.321703,0.237896,-1.34929,0.191098,0.269808,-1.437971,0.218601,3
0.383335,-3.779377,0.296575,0.250102,-1.596537,0.206057,0.260572,-1.273931,0.212638,4
0.352519,-3.041834,0.276547,0.163929,-0.115508,0.126714,0.187261,-0.174397,0.151842,5
0.341573,-2.794726,0.269394,0.220837,-1.024436,0.169836,0.226659,-0.720542,0.177588,6
0.320602,-2.343071,0.250869,0.191804,-0.527129,0.146199,0.202072,-0.367514,0.154355,7
0.320771,-2.346592,0.250523,0.175778,-0.282604,0.145596,0.199108,-0.327697,0.158623,8
0.274689,-1.454122,0.21522,0.160271,-0.066276,0.122561,0.173888,-0.012654,0.129189,9
0.264383,-1.273424,0.206051,0.143644,0.14348,0.113123,0.157401,0.170269,0.124236,10
0.227273,-0.68,0.177713,0.140093,0.185308,0.109471,0.164171,0.097364,0.131769,11
0.221186,-0.59121,0.175588,0.146304,0.111472,0.121661,0.159136,0.15188,0.127826,12
0.214888,-0.50189,0.167396,0.150007,0.065917,0.123609,0.165318,0.084707,0.13347,13
0.225425,-0.652792,0.175899,0.191068,-0.515439,0.164803,0.20035,-0.344311,0.168476,14
0.219153,-0.562096,0.172208,0.180945,-0.359109,0.154613,0.189194,-0.198773,0.157451,15
0.204935,-0.365989,0.161925,0.137088,0.219882,0.109768,0.161538,0.126086,0.125071,16
0.209989,-0.434192,0.166664,0.121584,0.38636,0.0949,0.142798,0.317089,0.11235,17
0.200459,-0.306961,0.15949,0.126922,0.331295,0.099482,0.153346,0.21247,0.116957,18
0.19737,-0.266993,0.154347,0.133113,0.264469,0.101348,0.155721,0.187891,0.119278,19
0.194959,-0.236237,0.154819,0.145901,0.116356,0.121393,0.163095,0.109151,0.13254,20
0.184912,-0.112097,0.146582,0.123252,0.369406,0.099559,0.153785,0.207961,0.117642,21
0.180911,-0.064494,0.143258,0.125288,0.348396,0.104362,0.146,0.286119,0.116968,22
0.18245,-0.082679,0.143584,0.122494,0.377137,0.100103,0.142999,0.315162,0.112505,23
0.172119,0.036451,0.136792,0.124659,0.354931,0.094532,0.144257,0.303063,0.109203,24
0.182612,-0.084612,0.144352,0.117215,0.429671,0.092961,0.139434,0.348884,0.106354,25
0.172356,0.033796,0.135561,0.117427,0.4276,0.091399,0.140491,0.338973,0.105937,26
0.176565,-0.01396,0.13873,0.121027,0.391964,0.097824,0.147077,0.275551,0.114266,27
0.166357,0.099893,0.132523,0.11291,0.470797,0.086183,0.144432,0.301375,0.108355,28
0.172051,0.037216,0.136509,0.115804,0.44332,0.087686,0.145323,0.292722,0.107829,29
0.172691,0.030045,0.137209,0.118578,0.416326,0.092328,0.145438,0.291607,0.111633,30
