rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
1.24842,-49.072882,0.413146,0.11896,0.412557,0.092503,0.130316,0.344761,0.102836,1
0.143571,0.337762,0.113568,0.120652,0.395729,0.09402,0.126664,0.380979,0.097292,2
0.146809,0.307549,0.11423,0.131312,0.284234,0.099411,0.135482,0.29179,0.101922,3
0.141145,0.359957,0.110787,0.148521,0.084331,0.119447,0.153286,0.093423,0.124115,4
0.140687,0.364104,0.111015,0.120684,0.395414,0.093593,0.122618,0.419888,0.093828,5
0.130988,0.448757,0.102372,0.127942,0.320504,0.10249,0.132442,0.323216,0.104974,6
0.146718,0.308413,0.116442,0.129537,0.303452,0.103277,0.131948,0.328248,0.104963,7
0.130234,0.455081,0.102867,0.115177,0.449324,0.089516,0.118634,0.456975,0.091195,8
0.125845,0.491195,0.09847,0.118963,0.412535,0.09084,0.120337,0.441271,0.093446,9
0.11895,0.545421,0.092663,0.117758,0.424371,0.090513,0.118958,0.454001,0.093912,10
0.107181,0.630926,0.083135,0.115747,0.443861,0.087726,0.116738,0.474193,0.090081,11
0.102539,0.662202,0.07816,0.116342,0.438132,0.087718,0.11874,0.456007,0.092075,12
0.100603,0.674835,0.077224,0.131414,0.283122,0.099618,0.129717,0.350771,0.10047,13
0.098122,0.690674,0.074544,0.11526,0.44853,0.088391,0.116558,0.47581,0.089876,14
0.094632,0.712286,0.071944,0.120163,0.400617,0.090654,0.118119,0.461676,0.091167,15
0.092722,0.723788,0.070741,0.116725,0.434425,0.088461,0.11768,0.465676,0.09038,16
0.091523,0.73088,0.069308,0.11751,0.426794,0.088719,0.116994,0.471886,0.090353,17
0.089259,0.744034,0.067414,0.123392,0.367969,0.091997,0.121835,0.427278,0.094055,18
0.08974,0.741267,0.068531,0.117578,0.426131,0.090174,0.116649,0.474994,0.089947,19
0.082562,0.781004,0.062404,0.119184,0.41035,0.089087,0.118057,0.462242,0.091316,20
0.077627,0.8064,0.056848,0.118339,0.418673,0.089079,0.116401,0.477226,0.090046,21
0.077921,0.804931,0.057911,0.121165,0.390582,0.093379,0.120963,0.435448,0.093665,22
0.074579,0.821307,0.054472,0.118336,0.418706,0.089568,0.115968,0.481103,0.089684,23
0.072054,0.833198,0.052485,0.120457,0.397684,0.090742,0.117518,0.467142,0.090968,24
0.070222,0.841573,0.050824,0.119093,0.411248,0.0909,0.117256,0.469519,0.090504,25
0.07063,0.839726,0.051686,0.121107,0.39116,0.09157,0.116973,0.47207,0.090449,26
0.068276,0.850234,0.049471,0.120356,0.398689,0.091423,0.117017,0.471681,0.089951,27
0.067752,0.852522,0.049497,0.119381,0.408397,0.090933,0.116688,0.474641,0.090423,28
0.065773,0.86101,0.047773,0.121547,0.386734,0.091843,0.117522,0.467105,0.090812,29
0.064274,0.867275,0.045759,0.121551,0.386692,0.092068,0.117793,0.464646,0.090771,30
