rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
1.229829,-48.016954,0.725665,0.207815,-0.792724,0.169624,0.214925,-0.600646,0.169473,1
0.396104,-4.084812,0.312094,0.250621,-1.607334,0.202648,0.225119,-0.756087,0.177884,2
0.377975,-3.630022,0.296598,0.188126,-0.46912,0.147195,0.193784,-0.301241,0.147722,3
0.368647,-3.404322,0.289892,0.29509,-2.614683,0.262064,0.305218,-2.228049,0.267178,4
0.353604,-3.052205,0.276705,0.203081,-0.711988,0.170547,0.214081,-0.5881,0.182006,5
0.329966,-2.528549,0.260997,0.152842,0.030276,0.117513,0.177839,-0.095915,0.140326,6
0.313375,-2.182623,0.248484,0.213308,-0.888755,0.172328,0.231375,-0.855051,0.193166,7
0.283823,-1.610667,0.222213,0.159146,-0.051367,0.129546,0.16615,0.043415,0.135505,8
0.276712,-1.481494,0.214364,0.127647,0.323635,0.100025,0.150442,0.215745,0.11678,9
0.269713,-1.357549,0.212293,0.14447,0.1336,0.122488,0.145712,0.264285,0.122781,10
0.235206,-0.792898,0.185052,0.132304,0.273382,0.109856,0.136135,0.35781,0.111523,11
0.231635,-0.738862,0.182383,0.142649,0.155304,0.110744,0.153493,0.183605,0.120591,12
0.219883,-0.566902,0.172891,0.118379,0.418287,0.091471,0.134511,0.373044,0.104239,13
0.210374,-0.434309,0.166211,0.125669,0.344432,0.10379,0.130685,0.4082,0.106063,14
0.220959,-0.582276,0.174474,0.137256,0.217969,0.112966,0.14642,0.257111,0.118854,15
0.205342,-0.366507,0.161251,0.152076,0.039976,0.132423,0.149569,0.224812,0.127059,16
0.21556,-0.50589,0.169107,0.119804,0.404195,0.092574,0.126598,0.444639,0.0989,17
0.202566,-0.329816,0.160134,0.119577,0.406453,0.095552,0.131494,0.400854,0.10312,18
0.198223,-0.273397,0.156945,0.118805,0.414094,0.0922,0.123949,0.467638,0.09714,19
0.199232,-0.2864,0.15624,0.140709,0.178129,0.108419,0.150272,0.217511,0.11876,20
0.200144,-0.298196,0.159358,0.114973,0.451278,0.092376,0.120269,0.498781,0.09681,21
0.185083,-0.110174,0.14772,0.117011,0.431654,0.089288,0.123379,0.47252,0.095129,22
0.178886,-0.037072,0.142393,0.117323,0.42862,0.088427,0.124607,0.46197,0.095368,23
0.175419,0.002736,0.13916,0.118752,0.414616,0.089197,0.127356,0.437966,0.09815,24
0.175828,-0.001925,0.138628,0.121745,0.384728,0.092143,0.123067,0.475183,0.096659,25
0.182103,-0.074712,0.144523,0.13202,0.276499,0.100236,0.137044,0.349209,0.108024,26
0.194674,-0.228209,0.15288,0.131996,0.276763,0.099861,0.137061,0.349048,0.107646,27
0.173167,0.028179,0.138507,0.112619,0.473518,0.09126,0.120961,0.492998,0.097847,28
0.169854,0.065012,0.134939,0.121505,0.387161,0.090129,0.12585,0.451182,0.095978,29
0.167228,0.093693,0.132712,0.109431,0.5029,0.087524,0.119288,0.506921,0.093831,30
