rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
1.396416,-62.654053,0.70139,0.202994,-0.710522,0.164074,0.199026,-0.283894,0.165561,1
0.301983,-1.976875,0.239955,0.223999,-1.082827,0.190752,0.23558,-0.798821,0.199686,2
0.311829,-2.174159,0.245644,0.191897,-0.528618,0.148673,0.192697,-0.203539,0.151343,3
0.296951,-1.878493,0.236383,0.183204,-0.39326,0.148724,0.208223,-0.405289,0.167633,4
0.306094,-2.058479,0.244173,0.197095,-0.612548,0.1602,0.216666,-0.521569,0.175513,5
0.275837,-1.483712,0.218961,0.219409,-0.998347,0.169763,0.214984,-0.498031,0.170971,6
0.26707,-1.328338,0.210713,0.194132,-0.56443,0.155024,0.18515,-0.111113,0.14943,7
0.264309,-1.280449,0.20969,0.149281,0.074933,0.12,0.156132,0.209883,0.12459,8
0.275113,-1.470693,0.219289,0.177318,-0.305173,0.147356,0.19749,-0.264156,0.160354,9
0.237063,-0.83453,0.188129,0.137243,0.218112,0.106793,0.144186,0.326159,0.112122,10
0.215142,-0.510937,0.172142,0.137812,0.21162,0.106767,0.150841,0.262524,0.111424,11
0.197228,-0.269795,0.156073,0.125678,0.344338,0.098573,0.137397,0.388123,0.109813,12
0.202257,-0.335382,0.160081,0.127312,0.327179,0.098109,0.138292,0.380121,0.108185,13
0.191378,-0.195586,0.152443,0.125669,0.344427,0.098489,0.138704,0.376426,0.108214,14
0.193893,-0.227215,0.153843,0.128507,0.314489,0.102913,0.137863,0.383963,0.111688,15
0.1966,-0.261716,0.156993,0.13111,0.286436,0.101318,0.123526,0.505433,0.097477,16
0.194772,-0.238361,0.155067,0.163535,-0.110159,0.129492,0.173768,0.021294,0.139445,17
0.188375,-0.158353,0.149061,0.152352,0.036486,0.114096,0.163656,0.131887,0.121926,18
0.189822,-0.176227,0.150052,0.113868,0.461777,0.086593,0.125157,0.492287,0.096069,19
0.176055,-0.011797,0.140115,0.140194,0.184133,0.105789,0.148503,0.28521,0.110316,20
0.178485,-0.039921,0.142294,0.117391,0.427957,0.092214,0.123929,0.502197,0.099098,21
0.170342,0.052802,0.135995,0.122866,0.373349,0.094622,0.130647,0.446765,0.101491,22
0.169715,0.05976,0.135229,0.118266,0.419392,0.0904,0.124885,0.494488,0.095686,23
0.176121,-0.012554,0.139995,0.120537,0.396884,0.09848,0.126526,0.481116,0.105841,24
0.168109,0.077473,0.133122,0.115403,0.447169,0.08907,0.11996,0.533575,0.092921,25
0.162783,0.135008,0.129529,0.129119,0.307943,0.099229,0.137198,0.389892,0.106505,26
0.164786,0.113589,0.129294,0.110899,0.489475,0.088368,0.116092,0.563171,0.095787,27
0.165811,0.10252,0.133205,0.114848,0.452465,0.089277,0.122238,0.515689,0.096698,28
0.17185,0.035964,0.136292,0.111141,0.487247,0.085109,0.119316,0.538571,0.093375,29
0.166999,0.089614,0.133756,0.10991,0.49854,0.086392,0.114991,0.571415,0.091389,30
