rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
1.041392,-34.516151,0.653117,0.340613,-3.815979,0.270208,0.342532,-2.696846,0.277996,1
0.459705,-5.920803,0.358163,0.183709,-0.400951,0.142593,0.183477,-0.060702,0.138714,2
0.433607,-5.157309,0.32859,0.182818,-0.387389,0.138678,0.194606,-0.19327,0.15061,3
0.433259,-5.147434,0.330604,0.179166,-0.332522,0.137414,0.196135,-0.212095,0.148506,4
0.369661,-3.475122,0.28119,0.177982,-0.314963,0.147385,0.177962,0.002105,0.143871,5
0.385297,-3.861718,0.294847,0.185138,-0.422826,0.143876,0.18632,-0.093824,0.15188,6
0.367615,-3.42573,0.277879,0.214513,-0.91015,0.184559,0.206726,-0.346541,0.174711,7
0.315092,-2.251415,0.240733,0.216736,-0.949942,0.185026,0.216286,-0.473951,0.183179,8
0.292991,-1.811296,0.22548,0.133604,0.25903,0.102538,0.138228,0.397966,0.10611,9
0.347335,-2.950893,0.266266,0.170315,-0.204113,0.140238,0.161897,0.174141,0.13255,10
0.247931,-1.013073,0.190513,0.14695,0.103608,0.113647,0.16224,0.170644,0.123717,11
0.236885,-0.837696,0.182845,0.142529,0.156731,0.109299,0.154432,0.248549,0.118066,12
0.248434,-1.021252,0.19062,0.151572,0.046327,0.115285,0.164838,0.143865,0.125547,13
0.230237,-0.735987,0.179946,0.142828,0.15319,0.109388,0.156627,0.227035,0.118782,14
0.233687,-0.788409,0.181406,0.139979,0.186629,0.112205,0.142518,0.360018,0.114536,15
0.215291,-0.517928,0.167002,0.135607,0.236642,0.104622,0.152321,0.268948,0.11762,16
0.226576,-0.681221,0.175446,0.131582,0.281289,0.104188,0.137624,0.40322,0.107527,17
0.213419,-0.491636,0.164593,0.11933,0.408904,0.094753,0.12773,0.485938,0.101649,18
0.215138,-0.515765,0.168579,0.118973,0.412428,0.090363,0.132552,0.446395,0.10117,19
0.198939,-0.296098,0.154062,0.114073,0.459833,0.0864,0.129354,0.472786,0.100335,20
0.186609,-0.140421,0.146532,0.120404,0.398214,0.090652,0.1335,0.438451,0.100929,21
0.183047,-0.097295,0.143036,0.119717,0.405056,0.089765,0.129736,0.469665,0.098205,22
0.185107,-0.122131,0.144005,0.114188,0.458744,0.090184,0.121816,0.532438,0.098436,23
0.18521,-0.123375,0.144501,0.114179,0.458831,0.089164,0.119618,0.549163,0.094093,24
0.172809,0.022018,0.135858,0.11011,0.496718,0.08433,0.120485,0.542603,0.092632,25
0.178658,-0.045308,0.141031,0.130931,0.288383,0.098587,0.138703,0.39382,0.105054,26
0.174323,0.004812,0.1364,0.122984,0.372142,0.090175,0.132467,0.447106,0.098671,27
0.175582,-0.009619,0.138478,0.110454,0.493567,0.08355,0.119764,0.54806,0.091837,28
0.177699,-0.034117,0.139587,0.111617,0.482843,0.086114,0.117611,0.564162,0.092187,29
0.174938,-0.002223,0.138064,0.117653,0.425402,0.089889,0.126766,0.493668,0.096826,30
